name,description,price,status
iPhone 15 Pro,Apple flagship smartphone,1299.99,ACTIVE
Samsung Galaxy S25,Android flagship smartphone,1149.99,ACTIVE
Google Pixel 10,Google AI smartphone,999.99,ACTIVE
MacBook Air M4,13 inch Apple laptop,1499.99,ACTIVE
Dell XPS 15,Premium Windows laptop,1799.99,ACTIVE
Lenovo ThinkPad X1 Carbon,Business ultrabook,1699.99,ACTIVE
Sony WH-1000XM6,Noise cancelling headphones,449.99,ACTIVE
JBL Charge 6,Portable Bluetooth speaker,199.99,ACTIVE
Apple Watch Series 11,Smart watch,499.99,ACTIVE
Garmin Forerunner 970,GPS fitness watch,649.99,ACTIVE
PlayStation 5 Slim,Sony gaming console,549.99,ACTIVE
Xbox Series X,Microsoft gaming console,549.99,ACTIVE
Men's Cotton Polo Shirt,Casual polo shirt,29.99,ACTIVE
Women's Summer Dress,Lightweight casual dress,49.99,ACTIVE
Nike Air Max 270,Running shoes,159.99,ACTIVE
Casio Edifice Chronograph,Men's wrist watch,129.99,ACTIVE
Ergonomic Office Chair,Mesh ergonomic chair,249.99,ACTIVE
Standing Desk 140cm,Adjustable office desk,399.99,ACTIVE
Philips Air Fryer XL,Digital air fryer,179.99,ACTIVE
Instant Pot Duo 7L,Electric pressure cooker,149.99,ACTIVE
Modern Table Lamp,Minimalist desk lamp,59.99,ACTIVE
Adjustable Dumbbell Set,20kg adjustable dumbbells,249.99,ACTIVE
Camping Tent 4 Person,Waterproof camping tent,299.99,ACTIVE
Clean Code,Book by Robert C Martin,39.99,ACTIVE
The Pragmatic Programmer,Programming classic,44.99,ACTIVE
A4 Notebook Pack,Pack of five notebooks,12.99,ACTIVE
Wireless Mouse,Ergonomic wireless mouse,34.99,ACTIVE
Vitamin C Face Serum,Daily skincare serum,24.99,ACTIVE
Moisturizing Face Cream,Hydrating facial cream,19.99,ACTIVE
Gaming Mechanical Keyboard,RGB mechanical keyboard,89.99,DRAFT