product,quantity
iPhone 15 Pro,35
Samsung Galaxy S25,42
Google Pixel 10,28
MacBook Air M4,16
Dell XPS 15,11
Lenovo ThinkPad X1 Carbon,13
Sony WH-1000XM6,54
JBL Charge 6,67
Apple Watch Series 11,31
Garmin Forerunner 970,18
PlayStation 5 Slim,14
Xbox Series X,19
Men's Cotton Polo Shirt,120
Women's Summer Dress,88
Nike Air Max 270,61
Casio Edifice Chronograph,45
Ergonomic Office Chair,20
Standing Desk 140cm,12
Philips Air Fryer XL,39
Instant Pot Duo 7L,26
Modern Table Lamp,74
Adjustable Dumbbell Set,15
Camping Tent 4 Person,10
Clean Code,44
The Pragmatic Programmer,39
A4 Notebook Pack,150
Wireless Mouse,93
Vitamin C Face Serum,82
Moisturizing Face Cream,79
Gaming Mechanical Keyboard,0